,0,1,2,3,4
35,2,35,loras,"He would have been a true king, a good king","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
36,2,36,littlefinger,"Tell me, Ser Loras, what do you desire most in this world?","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
37,2,37,loras,Revenge,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
38,2,38,littlefinger,"I have always found that to be the purest of motivations, but you wont have a chance to put your sword through Stannis, not today Youll be cut to pieces before he sets foot on solid ground If it is justice that you want, be smart about it","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
39,2,39,margaery,You cant avenge him from the grave Bring the horses Please,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
40,2,40,margaery,He was very handsome,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
41,2,41,littlefinger,"He was, Your Grace","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
42,2,42,margaery,"Your Grace Calling yourself king doesnt make you one And if Renly wasnt a king, I wasnt a queen","['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
43,2,43,littlefinger,Do you want to be a queen?,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
44,2,44,margaery,No I want to be the queen,"['Loras Tyrell', 'Renly Baratheon', 'Margaery Tyrell', 'Petyr Baelish']"
45,3,45,cersei,Killed? By whom?,['Myrcella Baratheon']
46,4,46,tyrion,Accounts differ Most seem to implicate Catelyn Stark in some way,"['Cersei Lannister', 'Tyrion Lannister']"
47,4,47,cersei,Really? Whod have thought?,"['Cersei Lannister', 'Tyrion Lannister']"
48,4,48,tyrion,"Some say it was one of his own Kingsguard, while still others say it was Stannis himself who did it after negotiations went sour","['Cersei Lannister', 'Tyrion Lannister']"
49,4,49,cersei,"Whomever did it, I say well done","['Cersei Lannister', 'Tyrion Lannister']"
50,4,50,tyrion,"Its not what Varys says He says Renlys army is flocking to support Stannis, which would give Stannis superiority over us on both land and sea","['Cersei Lannister', 'Tyrion Lannister']"
51,4,51,cersei,Littlefinger says we can outspend him three to one,"['Cersei Lannister', 'Tyrion Lannister']"
52,4,52,tyrion,"And I say Father raised you to have too much respect for money Stannis Baratheon is coming for us, sooner rather than later","['Cersei Lannister', 'Tyrion Lannister']"
53,4,53,cersei,"Arent there other things you should be doing, like sealing my daughter in a crate so you can ship her away?","['Cersei Lannister', 'Tyrion Lannister']"
54,4,54,tyrion,Shell be safer in Dorne,"['Cersei Lannister', 'Tyrion Lannister']"
55,4,55,cersei,"Yes, I know how concerned you are for her safety","['Cersei Lannister', 'Tyrion Lannister']"
56,4,56,tyrion,"It so happens that I am Myrcella is a sweet, innocent girl and I dont blame her at all for you","['Cersei Lannister', 'Tyrion Lannister']"
57,4,57,cersei,So clever Arent you always so clever with your schemes and your plots?,"['Cersei Lannister', 'Tyrion Lannister']"
58,4,58,tyrion,Schemes and plots are the same thing They are going to attack us We need to be ready,"['Cersei Lannister', 'Tyrion Lannister']"
59,4,59,cersei,No need to concern yourself over it The king is taking personal charge of siege preparations,"['Cersei Lannister', 'Tyrion Lannister']"
60,4,60,tyrion,May I ask specifically what the king has in mind?,"['Cersei Lannister', 'Tyrion Lannister']"
61,4,61,cersei,"You may, specifically, or you may ask vaguely The answer will be the same","['Cersei Lannister', 'Tyrion Lannister']"
62,4,62,tyrion,Its important that we talk about this,"['Cersei Lannister', 'Tyrion Lannister']"
63,4,63,cersei,Its the kings royal prerogative to withhold sensitive information from his councilors,"['Cersei Lannister', 'Tyrion Lannister']"
64,5,64,lancel,Its wildfire,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
65,5,65,tyrion,"Wildfire? You wouldnt lie to me, would you, cousin?","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
66,5,66,lancel,No,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
67,5,67,tyrion,Thats a lie right there,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
68,5,68,lancel,It is not a lie Why would I lie?,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
69,5,69,tyrion,"Tell me, if the vile allegations against my brother and sister are true, do you think it will make Jaime more likely to kill you or less likely? When I tell him youre fucking her, I mean","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
70,5,70,lancel,Im telling you the truth,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
71,5,71,tyrion,The smart money would be on more likely,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
72,5,72,lancel,Shes making wildfire,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
73,5,73,tyrion,But then perhaps his own unnatural urges will give him sympathy for yours,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
74,5,74,lancel,The Alchemists Guild is being commissioned,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
75,5,75,tyrion,I suppose theres only one way to find out,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
76,5,76,lancel,They have thousands of pots already stored in their vaults They are planning to launch it from the city walls into Stannis ships and armies Please,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
77,5,77,tyrion,When did she tell you this?,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
78,5,78,lancel,"I heard her talking with the pyromancer And the other night, after I left her, she went to meet him I swear to you","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
79,5,79,tyrion,Swear to me on what?,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
80,5,80,lancel,On my life,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
81,5,81,tyrion,But I dont care about your life,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
82,5,82,lancel,"In the light of the Seven, by all that is holy and right, I, Lancel Lannister, do solemnly vow","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
83,5,83,tyrion,"All right, all right Enough Even torturing you is boring Just get out","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
84,5,84,tyrion,"Oh, Lancel, tell my friend Bronn to please kill you if anything should happen to me","['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
85,5,85,lancel,Please kill me if anything should happen to Lord Tyrion,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
86,5,86,bronn,It will be my pleasure,"['Bronn', 'Tyrion Lannister', 'Lancel Lannister']"
87,6,87,davos,Your Grace,"['Davos Seaworth', 'Stannis Baratheon']"
88,6,88,stannis,What is it?,"['Davos Seaworth', 'Stannis Baratheon']"
89,6,89,davos,"Im sorry about your brother, Your Grace, I wanted to let you know that people grieve for him","['Davos Seaworth', 'Stannis Baratheon']"
90,6,90,stannis,"Fools love a fool I grieve for him as well, for the boy he was, not the man he grew to be","['Davos Seaworth', 'Stannis Baratheon']"
91,6,91,davos,I need to speak to you about what I saw in that cave,"['Davos Seaworth', 'Stannis Baratheon']"
92,6,92,stannis,I thought I made it clear to you thered be no need to speak to me on this matter,"['Davos Seaworth', 'Stannis Baratheon']"
93,6,93,davos,"Your Grace, I -","['Davos Seaworth', 'Stannis Baratheon']"
94,6,94,stannis,Ive never known you to need to hear a thing twice,"['Davos Seaworth', 'Stannis Baratheon']"
95,7,95,davos,And Ive never known you to hide from the truth,"['Davos Seaworth', 'Stannis Baratheon']"
96,7,96,stannis,Youve come to lecture me on truth?,"['Davos Seaworth', 'Stannis Baratheon']"
97,7,97,davos,Ive come to tell you that what I saw,"['Davos Seaworth', 'Stannis Baratheon']"
98,7,98,stannis,"All my brothers bannermen have come to my side Except the Tyrells, who fled like cowards They wont be able to resist us now Soon I shall be sitting on the Iron Throne","['Davos Seaworth', 'Stannis Baratheon']"
99,7,99,davos,"Nothing is worth what this will cost you, not even the Iron","['Davos Seaworth', 'Stannis Baratheon']"
100,7,100,stannis,Ill hear no more about it,"['Davos Seaworth', 'Stannis Baratheon']"
101,7,101,man,"Take a company of men, secure the perimeter","['Davos Seaworth', 'Stannis Baratheon']"
102,7,102,davos,When do we sail for Kings Landing?,"['Davos Seaworth', 'Stannis Baratheon']"
103,7,103,stannis,"As soon as Ive consolidated my troops Well make short work of the Lannisters fleet Once Blackwater Bay is cleared, well deliver our troops to their doorstep and take the city","['Davos Seaworth', 'Stannis Baratheon']"
104,7,104,davos,And will you bring Lady Melisandre with you?,"['Davos Seaworth', 'Stannis Baratheon']"
105,7,105,stannis,Thats not your concern,"['Davos Seaworth', 'Stannis Baratheon']"
106,7,106,davos,"If you take Kings Landing with her by your side, the victory will be hers","['Davos Seaworth', 'Stannis Baratheon']"
107,7,107,stannis,I never thought Id have reason to doubt your loyalty Was I wrong?,"['Davos Seaworth', 'Stannis Baratheon']"
108,7,108,davos,Loyal service means telling hard truths,"['Davos Seaworth', 'Stannis Baratheon']"
109,7,109,stannis,"Oh, truth again All right, whats the truth? The hard truth?","['Davos Seaworth', 'Stannis Baratheon']"
110,7,110,davos,Shes a foreigner preaching her foreign religion Some believe she whispers orders in your ear and you obey,"['Davos Seaworth', 'Stannis Baratheon']"
111,7,111,stannis,What do you believe?,"['Davos Seaworth', 'Stannis Baratheon']"
112,7,112,davos,You won those bannermen from Renly Dont lose them to her,"['Davos Seaworth', 'Stannis Baratheon']"
113,7,113,stannis,We set out for Kings Landing without Lady Melisandre And you lead the fleet into Blackwater Bay,"['Davos Seaworth', 'Stannis Baratheon']"
114,7,114,davos,"Your Grace, Im honored, but my time on the sea was spent evading ships, not attacking them The other lords wont be happy","['Davos Seaworth', 'Stannis Baratheon']"
115,7,115,stannis,"Most of those lords should consider themselves lucky I dont hang them for treason Hard truths cut both ways, Ser Davos","['Davos Seaworth', 'Stannis Baratheon']"
116,7,116,girl,Ive got it! Ive got it,"['Davos Seaworth', 'Stannis Baratheon']"
117,8,117,man,"So its that one there at the top, on the right","['Tyrion Lannister', 'Bronn']"
118,8,118,man,"Buy my fruit, my lord Fresh fruit","['Tyrion Lannister', 'Bronn']"
119,8,119,tyrion,"Stannis has more infantry, more ships, more horses What do we have?","['Tyrion Lannister', 'Bronn']"
120,8,120,bronn,Theres that mind of yours you keep going on about,"['Tyrion Lannister', 'Bronn']"
121,8,121,tyrion,"Well, Ive never actually been able to kill people with it","['Tyrion Lannister', 'Bronn']"
122,8,122,bronn,Good thing Id be out of a job What about your father?,"['Tyrion Lannister', 'Bronn']"
123,8,123,tyrion,"He hasnt sent a raven in weeks Hes very busy Being repeatedly humiliated by Robb Stark is time-consuming We wont be able to hold the city against Stannis, not the way Joffreys planning on holding it","['Tyrion Lannister', 'Bronn']"
124,9,124,protester,Corruption,"['Tyrion Lannister', 'Bronn', 'Protestor']"
125,9,125,crowd,Yes,"['Tyrion Lannister', 'Bronn', 'Protestor']"
126,9,126,protester,"We are swollen, bloated, foul Brother fornicates with sister in the bed of kings and were surprised when the fruit of their incest is rotten? Yes, a rotten king","['Tyrion Lannister', 'Bronn', 'Protestor']"
127,9,127,tyrion,Its hard to argue with his assessment,"['Tyrion Lannister', 'Bronn', 'Protestor']"
128,9,128,bronn,Not after what he did to your birthday present,"['Tyrion Lannister', 'Bronn', 'Protestor']"
129,9,129,tyrion,The king is a lost cause Its the rest of us Im worried about now,"['Tyrion Lannister', 'Bronn', 'Protestor']"
130,9,130,man,"A dancing king, prancing down his bloodstained halls to the tune of a twisted demon monkey","['Tyrion Lannister', 'Bronn', 'Protestor']"
131,9,131,tyrion,You have to admire his imagination,"['Tyrion Lannister', 'Bronn', 'Protestor']"
132,9,132,bronn,Hes talking about you,"['Tyrion Lannister', 'Bronn', 'Protestor']"
133,9,133,tyrion,What? Demon monkey?,"['Tyrion Lannister', 'Bronn', 'Protestor']"
134,9,134,bronn,People think youre pulling the kings strings They blame you for the citys ills,"['Tyrion Lannister', 'Bronn', 'Protestor']"
135,9,135,tyrion,Blame me? Im trying to save them,"['Tyrion Lannister', 'Bronn', 'Protestor']"
136,9,136,bronn,You dont need to convince me,"['Tyrion Lannister', 'Bronn', 'Protestor']"
137,9,137,tyrion,Demon monkey,"['Tyrion Lannister', 'Bronn', 'Protestor']"
138,10,138,man,"Yeah, come on",['Theon Greyjoy']
139,11,139,theon,Youre the crew of the Sea Bitch? Im your commander Welcome,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
140,11,140,theon,Stop Stop! Your captain commands you to stop,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
141,11,141,black lorren,"Where are we headed, Captain?","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
142,11,142,theon,"The Stony Shore, to raid their villages Therell be spoils in it for you, and women, if you do your jobs well","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
143,11,143,black lorren,And who decides if weve done our jobs well?,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
144,11,144,theon,I do Your captain,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
145,11,145,black lorren,"I have been reaving and raping since before you left Balons balls, Captain Dont reckon Ive got much use for your ideas on how to do it Dont reckon Ive got much use for a captain at all Im thinking I can do the job of captain real well myself All I need is a ship You wouldnt know where I could find myself a ship now, would you?","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
146,11,146,theon,"You could do that, take the ship, head out on your own And I will hunt you down, drag you back here in chains and hang you for a traitor","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
147,11,147,yara,Stop We yield,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
148,11,148,yara,Congratulations on your first command,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
149,11,149,theon,Thank you Kind of you to come see me off,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
150,11,150,yara,"Oh, Im not here for you I was just on my way to Red Harbor Ive got 30 ships Theres nowhere to put them here Too narrow","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
151,11,151,theon,Youd better get out there Wouldnt want her to set sail without you,"['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
152,11,152,yara,"That would never happen My crew would wait on deck for a year if I asked them to This lot, though Enjoy the Stony Shore","['Theon Greyjoy', 'Black Lorren', 'Yara Greyjoy', 'Dagmer Cleftjaw']"
153,12,153,dagmer,"Come on, Ill take you out","['Theon Greyjoy', 'Dagmer Cleftjaw', 'Yara Greyjoy']"
154,12,154,theon,Who are you?,"['Theon Greyjoy', 'Dagmer Cleftjaw', 'Yara Greyjoy']"
155,13,155,dagmer,"Dagmer, your first mate","['Theon Greyjoy', 'Dagmer Cleftjaw']"
156,13,156,theon,Why arent you with the rest of them? Or did they send you to row me out and dump me halfway in the sea? That would be good for a laugh,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
157,13,157,dagmer,Theyre not gonna respect you until you prove yourself,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
158,13,158,theon,And how am I supposed to prove myself by pillaging piss-poor fishing villages?,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
159,13,159,dagmer,Youre not,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
160,13,160,theon,And yet thats the task my father has given me to prove that Im a true Iron Islander,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
161,13,161,dagmer,Theyre all Iron Islanders Do they do as theyre told or do they do as they like?,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
162,13,162,theon,The Stony Shores not far from Torrhens Square,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
163,13,163,dagmer,"The seat of the House of Tallhart, a more impressive prize than a few fishermens daughters What, you dont think we could take it?","['Theon Greyjoy', 'Dagmer Cleftjaw']"
164,13,164,theon,"No, we could We could never hold it for more than a few days As soon as Winterfell got word that wed taken Torrhens Square, the Starks would send their men to take it back","['Theon Greyjoy', 'Dagmer Cleftjaw']"
165,13,165,and then theon,Take me to my ship,"['Theon Greyjoy', 'Dagmer Cleftjaw']"
166,14,166,reginald,"The Starks have overextended their lines Now that summers over, theyll have a hard time keeping their men and horses fed","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
167,14,167,tywin,The Starks understand winter better than we ever will The cold wont beat them,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
168,14,168,amory,Our spies report growing discontent among the Northern lords They want to return home and gather the harvest before the crops turn,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
169,14,169,tywin,"And Im sure if those same spies snuck into our own encampments, they would report growing discontent amongst the Southern lords This is war, no ones content Weve underestimated the Stark boy for too long He has a good mind for warfare, his men worship him And as long as he keeps winning battles, theyll keep believing he is King in the North Youve been waiting for him to fail He is not going to fail, not without our help So how do we stop him?","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
170,14,170,reginald,"Weve worked through the night, my lord Perhaps wed profit from some sleep","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
171,14,171,tywin,"Yes, I think you would, Reginald And because youre my cousin, I might even let you wake from that sleep Go, Im sure your wife must miss you","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
172,14,172,reginald,My wifes in Lannisport,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
173,14,173,tywin,"Well, then youd better start riding Go, before I change my mind and send her your head","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
174,14,174,tywin,"If your name wasnt Lannister, youd be scrubbing out pots in the cooks tent Go","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
175,14,175,tywin,"Not wine, water Well be here for some time Girl, where are you from?","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
176,14,176,arya,"Maidenpool, my lord","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
177,14,177,tywin,And who are the Lords of Maidenpool? Remind me,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
178,14,178,arya,"House Mooton, my lord","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
179,14,179,tywin,And what is their sigil?,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
180,14,180,tywin,"A red salmon I think a Maidenpool girl would remember that Youre a Northerner, arent you?","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
181,14,181,tywin,"Good One more time, where are you from?","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
182,14,182,arya,"Barrowton, my lord House Dustin Two crossed longaxes beneath a black crown","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
183,14,183,tywin,And what do they say of Robb Stark in the North?,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
184,14,184,arya,They call him the Young Wolf,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
185,14,185,tywin,And?,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
186,14,186,arya,They say he rides into battle on the back of a giant direwolf They say he can turn into a wolf himself when he wants They say he cant be killed,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
187,14,187,tywin,And do you believe them?,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
188,14,188,arya,"No, my lord Anyone can be killed","['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
189,14,189,tywin,Fetch that water,"['Arya Stark', 'Tywin Lannister', 'Reginald Lannister']"
190,16,190,jaqen,A girl says nothing,"['Arya Stark', ""Jaqen H'ghar""]"
191,16,191,jaqen,"A girl keeps her mouth closed No one hears, and friends may talk in secret, yes? A boy becomes a girl","['Arya Stark', ""Jaqen H'ghar""]"
192,16,192,arya,I was always a girl,"['Arya Stark', ""Jaqen H'ghar""]"
193,16,193,jaqen,And I was always aware But the girl keeps secrets It is not for a man to spoil them,"['Arya Stark', ""Jaqen H'ghar""]"
194,16,194,arya,Youre one of them now I should have let you burn,"['Arya Stark', ""Jaqen H'ghar""]"
195,16,195,jaqen,And you fetch water for one of them now Why is this right for you and wrong for me?,"['Arya Stark', ""Jaqen H'ghar""]"
196,16,196,arya,I didnt have a choice,"['Arya Stark', ""Jaqen H'ghar""]"
197,16,197,jaqen,You did I did And here we are,"['Arya Stark', ""Jaqen H'ghar""]"
198,16,198,jaqen,A man pays his debts A man owes three,"['Arya Stark', ""Jaqen H'ghar""]"
199,16,199,arya,Three what?,"['Arya Stark', ""Jaqen H'ghar""]"
200,16,200,jaqen,"The Red God takes what is his, lovely girl And only death may pay for life You saved me and the two I was with You stole three deaths from the Red God We have to give them back Speak three names and the man will do the rest Three lives I will give you, no more, no less, and were done","['Arya Stark', ""Jaqen H'ghar""]"
201,16,201,arya,I can name anyone and youll kill him?,"['Arya Stark', ""Jaqen H'ghar""]"
202,16,202,jaqen,A man has said,"['Arya Stark', ""Jaqen H'ghar""]"
203,16,203,arya,The one who tortures everyone,"['Arya Stark', ""Jaqen H'ghar""]"
204,16,204,jaqen,A man needs a name,"['Arya Stark', ""Jaqen H'ghar""]"
205,16,205,arya,I dont know his name They call him the Tickler,"['Arya Stark', ""Jaqen H'ghar""]"
206,16,206,jaqen,"That is enough Go now, girl Your master is thirsty","['Arya Stark', ""Jaqen H'ghar""]"
207,17,207,jeor,"Hes not here yet Hed have seen us, blown the horn","['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
208,17,208,jon,When will he come?,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
209,17,209,jeor,The Halfhand does things in his own time,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
210,17,210,jon,My uncle told me stories about him,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
211,17,211,jeor,Most of them are true,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
212,17,212,jon,I heard the Halfhand spent half of last winter beyond the Wall,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
213,17,213,jeor,The whole winter He was north of the Skirling Pass when the snows came Had to wait for the thaw,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
214,17,214,jon,So it is possible for someone to survive out here on their own,"['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
215,17,215,jeor,"Well, possible for the Halfhand","['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
216,17,216,sam,"Beautiful, isnt it? Gilly would love it here","['Jeor Mormont', 'Jon Snow', 'Samwell Tarly', 'Grenn', 'Eddison Tollett']"
